Servent_ID,Servant_Name,Rarity,Servent_Summon,Servent_Class,Servent_JPName,Servent_AKA,Servent_Cost,ATKLevel1,ATKMaxLevel,HPLevel1,HPMaxLevel,ATKLevel100,HPLevel100,ATKLevel120,HPLevel120,VoiceActor,Illustrator,Servent_Attribute,StarAbsorption,StarGeneration,NPChargeATK,NPChargeDEF,DeathRate,Servent_Alignments,ServentGender,ServentTraits,QuickHits,ArtsHits,BusterHits,ExtraHits,NPDamageType,NPRank,NPClassification,NPHit-Count
60,Orion,5-Star,Non-Limited,Archer,オリオン,Artemis (アルテミス?),16,1716,11107,2134,14553,12158,15943,14271,18738,"Canna Nobutoshi, Sawashiro Miyuki",I-IV,Sky,153,8%,1%,3%,27%,Chaotic Balanced,Male,"Greek Mythology Male, Hominidae Servant, Humanoid, Immune to Pigify, Levitating Servant, Servant, Seven Knights Servant, Weak to Enuma Elish",3,1,1,4,Arts,A+,Anti-Unit,5
61,Elizabeth Báthory (Halloween),4-Star,Event-Obtain,Caster,エリザベート・バートリー〔ハロウィン〕,"Hallo-Eli, Elisabeth Báthory (Halloween)",12,1436,8616,1824,11404,10432,13827,12249,16251,Ookubo Rumi,Wada Arco,Man,49,10.80%,1.60%,3%,42%,Chaotic Evil,Female,"Dragon, Hominidae Servant, Humanoid, Levitating Servant, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,4,Buster,E-,Anti-Unit,5
62,Tamamo no Mae,5-Star,Non-Limited,Caster,玉藻の前,"Fox Priestess of Peerless Beauty (絶世の美女巫女狐, Zessei no Bijo Miko-Gitsune?), Cas-ko (キャス狐?), Mizukume",16,1629,10546,2091,14259,11544,15621,13551,18359,Saito Chiwa,Wada Arco,Sky,49,11%,0.32%,3%,36%,Neutral Evil,Female,"Animal Characteristics Servant, Demonic Beast Servant, Divine Spirit, Divinity, Goddess Servant, Humanoid, Non-Hominidae Servant, Servant, Seven Knights Servant, Weak to Enuma Elish",3,5,1,4,Arts,D-,Anti-Army,－
63,David,3-Star,Non-Limited,Archer,ダビデ,-,7,1436,7736,1555,8643,10470,11719,12297,13774,Nakamura Yuuichi,Ginka,Sky,153,8%,0.76%,3%,36%,Lawful Balanced,Male,"Hominidae Servant, Humanoid, King, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,C-,Anti-Unit,1
64,Hector,3-Star,Non-Limited,Lancer,ヘクトール,"Hektor, Hector of the Gleaming Helmet",7,1334,6928,1726,10200,9376,13829,11012,16255,Yasui Kunihiko,BLACK,Man,90,12.20%,1.08%,4%,28%,Lawful Balanced,Male,"Greek Mythology Male, Hominidae Servant, Humanoid, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A-,Anti-Army,1
65,Francis Drake,5-Star,Non-Limited,Rider,フランシス・ドレイク,"Voyager of the Storm (嵐の航海者, Arashi no Kōkai-sha?)El Draque, King of Storms, King of Ghosts",16,1750,11326,1881,12830,12398,14056,14553,16519,Takano Urara,Wada Arco,Star,208,9%,0.42%,3%,50%,Chaotic Evil,Female,"Enuma Elish Nullification, Hominidae Servant, Humanoid, Riding, Servant, Seven Knights Servant",6,4,2,4,Buster,A,Anti-Army,5
66,Anne Bonny & Mary Read,4-Star,Non-Limited,Rider,アン・ボニー＆メアリー・リード,-,12,1504,9029,1805,11286,10932,13684,12836,16083,"Nonaka Ai, Kawasumi Ayako",I-IV,Man,200,9.10%,0.84%,3%,50%,Chaotic Evil,Female,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Quick,C+,Anti-Unit,6
67,Medea (Lily),4-Star,Story-locked,Caster,メディア〔リリィ〕,-,12,1294,7766,2091,13070,9403,15847,11040,18625,Nonaka Ai,Koyama Hirokazu,Earth,51,10.70%,0.40%,3%,36%,Lawful Good,Female,"Argo-Related, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",4,4,3,5,Arts,C-,Anti-Thaumaturgy,－
68,Okita Sōji,5-Star,Limited,Saber,沖田総司,"Okita Souji, Sakura Saber",16,1865,12068,1939,13225,13210,14489,15506,17028,Yūki Aoi,Takeuchi Takashi,Man,98,10.20%,1.09%,3%,35%,Neutral Balanced,Female,"Artoria Face, Costume-Owning, Hominidae Servant, Humanoid, Riding, Servant, Shinsengumi Servant, Weak to Enuma Elish",5,2,1,3,Quick,-,Anti-Unit Mystic Sword,3
69,Oda Nobunaga,4-Star,Event-Obtain,Archer,織田信長,"Demon King of the Sixth Heaven (第六天魔王, Dairoku Ten-Maō?)Demon Archer, Big Fool of Owari, Nobu",12,1582,9494,1862,11637,11495,14110,13497,16583,Kugimiya Rie,pako,Man,150,7.90%,0.43%,3%,31.50%,Lawful Balanced,Female,"Hominidae Servant, Humanoid, King, Nobunaga, Servant, Seven Knights Servant, Weak to Enuma Elish",2,4,4,5,Buster,E~A,Anti-Army,10
70,Scáthach,5-Star,Limited,Lancer,スカサハ,"Queen of the Land of Shadows (影の国の女王, Kage no Kuni no Joō?)Witch of Dún Scáith, Lord of Spirits, Shishou",16,1758,11375,2174,14825,12452,16241,14615,19088,Noto Mamiko,Koyama Hirokazu,Star,88,12.20%,0.71%,4%,32%,Neutral Good,Female,"Costume-Owning, Hominidae Servant, Humanoid, King, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,6,7,Quick,B,Anti-Unit,1
71,Diarmuid Ua Duibhne,3-Star,Non-Limited,Lancer,ディルムッド・オディナ,"Beautiful Young Warrior (麗しの若武者, Uruwashi no Wakamusha?)Diarmuid O'Dyna, Diarmuid of the Love Spot",7,1277,6877,1817,10098,9307,13691,10931,16093,Midorikawa Hikaru,Mata,Earth,87,12.30%,0.79%,4%,36%,Lawful Balanced,Male,"Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,2,4,Quick,B,Anti-Unit,2
72,Fergus mac Róich,3-Star,Non-Limited,Saber,フェルグス・マック・ロイ,-,7,1385,7460,1761,9786,10096,13268,11858,15596,Kuroda Takaya,B-suke,Earth,99,10%,1.09%,3%,35%,Lawful Balanced,Male,"Hominidae Servant, Humanoid, King, Loved One, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A+,Anti-Army,5
73,Artoria Pendragon (Santa Alter),4-Star,Event-Obtain,Rider,アルトリア・ペンドラゴン〔サンタオルタ〕,-,12,1543,9258,1805,11286,11209,13684,13161,16083,Kawasumi Ayako,Takeuchi Takashi,Man,204,8.90%,0.87%,3%,35%,Lawful Good,Female,"Arthur, Artoria Face, Dragon, Hominidae Servant, Humanoid, King, Riding, Round Table Knight, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A++,Anti-Fortress,3
74,Nursery Rhyme,4-Star,Non-Limited,Caster,ナーサリー・ライム,Alice,12,1438,8629,1901,11882,10448,14407,12267,16932,Nonaka Ai,Wada Arco,Man,50,10.80%,0.54%,3%,36%,Neutral Balanced,Female,"Fairy Tale Servant, Humanoid, Non-Hominidae Servant, Servant, Seven Knights Servant, Weak to Enuma Elish",3,3,1,3,Arts,C-,Anti-Unit,3
75,Jack the Ripper,5-Star,Non-Limited,Assassin,ジャック・ザ・リッパー,"Innocent Murderer (無垢なる殺人鬼, Mukunaru Satsujinki?)切り裂きジャック, Assassin of Black, Legendary Serial Killer",16,1786,11557,1862,12696,12651,13909,14849,16347,Tange Sakura,Konoe Ototsugu,Earth,97,25.50%,1.07%,4%,44%,Chaotic Evil,Female,"Child Servant, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",5,2,2,4,Quick,D,Anti-Unit,4
76,Mordred,5-Star,Non-Limited,Saber,モードレッド,"Knight of Treachery (叛逆の騎士, Hangyaku no Kishi?)Saber of Red, The Knight of Londinium, Mordred the Silent, Mo-san (モーさん)",16,1811,11723,2153,14680,12833,16083,15063,18901,Sawashiro Miyuki,Konoe Ototsugu,Earth,98,10%,0.56%,3%,24.50%,Chaotic Balanced,Female,"Artoria Face, Costume-Owning, Dragon, Hominidae Servant, Humanoid, Riding, Round Table Knight, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,1,4,Buster,A+,Anti-Army,5
77,Nikola Tesla,5-Star,Story-locked,Archer,ニコラ・テスラ,"Dr. Raiden (雷電博士, Raiden Hakase?), The Modern Prometheus, Godlike Genius",16,1820,11781,2027,13825,12896,15146,15137,17800,Inada Tetsu,Namaniku ATK (Nitroplus),Star,147,7.90%,0.87%,3%,31.50%,Chaotic Good,Male,"Enuma Elish Nullification, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant",3,2,1,3,Buster,EX,Anti-Fortress,3
78,Artoria Pendragon (Lancer Alter),4-Star,Story-locked,Lancer,アルトリア・ペンドラゴン〔オルタ〕,"Artoria Lancer, King of Storms",12,1661,9968,1881,11761,12069,14260,14171,16760,Kawasumi Ayako,Ishida Akira,Sky,88,11.80%,0.74%,4%,23%,Lawful Good,Female,"Arthur, Artoria Face, Dragon, Hominidae Servant, Humanoid, King, Riding, Round Table Knight, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,1,4,Buster,A++,Anti-Fortress,4
79,Paracelsus von Hohenheim,3-Star,Non-Limited,Caster,ヴァン・ホーエンハイム・パラケルスス,-,7,1246,6711,1711,9506,9082,12889,10667,15149,Miki Shinichirou,Nakahara,Man,50,10.80%,0.55%,3%,36%,Chaotic Good,Male,"Costume-Owning, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Arts,A+,Anti-Army,3
80,Charles Babbage,3-Star,Non-Limited,Caster,チャールズ・バベッジ,"Dream of Steam (蒸気の夢, Jōki no Yume?)King of Steam (蒸気王, Jōki-Ō?), Father of the Computer",7,1113,5996,1959,10887,8115,14761,9531,17350,Inada Tetsu,I-IV,Man,48,10.80%,0.91%,3%,36%,Chaotic Balanced,Male,"Hominidae Servant, Humanoid, Immune to Pigify, Mechanical, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A+,Anti-Army,4
81,Henry Jekyll & Hyde,3-Star,Non-Limited,Assassin,ヘンリー・ジキル＆ハイド,"Double Entities (二重存在者, Nijū Sonzai-sha?)Dr. Jekyll and Mr. Hyde, Edward Hyde",7,1173,6320,1741,9675,8553,13118,10046,15419,Miyano Mamoru,Nakahara,Earth,99 /  9,25.6% /  5%,1.05% /  1.02%,4% /  5%,55% /  58.5%,Male,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Seven Knights Servant, Weak to Enuma Elish",QQABB,2,1,3,Buster,C,Anti-Unit,－,None
82,Frankenstein,4-Star,Non-Limited,Berserker,フランケンシュタイン,"Innocent Bride (無垢なる花嫁, Mukunaru Hanayome?), Berserker of Black, Fran, Frankenstein's Monster",12,1573,9441,1710,10687,11431,12958,13422,15229,Nonaka Ai,Okazaki Takeshi,Earth,10,4.90%,0.83%,5%,58.50%,Chaotic Balanced,Female,"Hominidae Servant, Humanoid, Mechanical, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Quick,D~B,Anti-Army,6
84,Arjuna,5-Star,Non-Limited,Archer,アルジュナ,"The Endowed Hero (授かりの英雄, Sazukari no Eiyū?), Silent Sniper, Rogue Archer, The Man of Rectitude",16,1907,12342,1940,13230,13510,14494,15858,17034,Shimazaki Nobunaga,pako,Sky,154,8%,0.51%,3%,31.50%,Lawful Balanced,Male,"Costume-Owning, Divinity, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,3,5,Buster,A+,Anti-Army,1
85,Karna,5-Star,Non-Limited,Lancer,カルナ,"Hero of Charity (施しの英雄, Hodokoshi no Eiyū?)Lancer of Red, Son of the Sun God, Launcher, Karno, Hero of Benefaction",16,1850,11976,1999,13632,13110,14934,15388,17552,Yusa Kōji,pako,Sky,88,12.20%,0.72%,4%,28%,Lawful Good,Male,"Costume-Owning, Divinity, Hominidae Servant, Humanoid, Loved One, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",3,3,1,4,Buster,EX,Anti-Divine,5
86,Mysterious Heroine X,5-Star,Limited,Assassin,謎のヒロインX,"MHX, A-X, Mysterious Racer X (Summer Event)",16,1817,11761,1862,12696,12874,13909,15112,16347,Kawasumi Ayako,BUNBUN,Star,98,25.60%,0.81%,4%,38.50%,Chaotic Good,Female,"Arthur, Artoria Face, Costume-Owning, Dragon, Enuma Elish Nullification, Hominidae Servant, Humanoid, King, Riding, Servant, Seven Knights Servant",4,2,1,4,Quick,A+,Anti-Unit,12
87,Fionn mac Cumhaill,4-Star,Non-Limited,Lancer,フィン・マックール,"Finn MacCool, Finn MacCoul",12,1488,8930,2040,12750,10812,15459,12695,18169,Miki Shinichirou,Moriyama Daisuke,Sky,89,12.30%,0.55%,4%,32%,Neutral Balanced,Male,"Divinity, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,4,Arts,A,Anti-Army,3
88,Brynhildr,5-Star,Limited,Lancer,ブリュンヒルデ,"Brynhild (Brünnhilde), Sigrdrífa, Brunilda",16,1766,11432,2174,14825,12514,16241,14689,19088,Noto Mamiko,Miwa Shirō,Sky,87,12.20%,1.07%,4%,32%,Neutral Good,Female,"Divine Spirit, Divinity, Humanoid, Levitating Servant, Non-Hominidae Servant, Riding, Servant, Seven Knights Servant, Valkyrie (Trait), Weak to Enuma Elish",3,2,1,5,Buster,B,Anti-Unit,5
89,Beowulf,4-Star,Non-Limited,Berserker,ベオウルフ,King of Savagery,12,1707,10247,1652,10327,12407,12521,14568,14716,Nakai Kazuya,Simosi,Earth,10,4.90%,0.68%,5%,58.50%,Chaotic Good,Male,"Hominidae Servant, Humanoid, King, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",3,3,1,4,Buster,A+,Anti-Unit,12
90,Nero Claudius (Bride),5-Star,Limited,Saber,ネロ・クラウディウス 〔ブライド〕,Saber Bride,16,1793,11607,2089,14248,12706,15609,14914,18345,Tange Sakura,Wada Arco,Man,102,10.10%,0.70%,3%,35%,Chaotic Bride,Female,"Artoria Face, Hominidae Servant, Humanoid, King, Riding, Roman, Servant, Seven Knights Servant, Weak to Enuma Elish",3,3,1,5,Arts,B+,Anti-Unit,2
91,Ryōgi Shiki (Saber),5-Star,Limited,Saber,両儀式,"「Ryōgi Shiki」, Void Shiki, Saber Shiki",16,1656,10721,2266,15453,11736,16929,13775,19897,Sakamoto Maaya,Takeuchi Takashi,Man,102,9.90%,0.84%,3%,24.50%,Neutral Balanced,Female,"Costume-Owning, Enuma Elish Nullification, Hominidae Servant, Humanoid, Immune to Pigify, Servant, Seven Knights Servant",4,2,1,4,Arts,EX,Anti-Unit,1
92,Ryōgi Shiki (Assassin),4-Star,Event-Obtain,Assassin,両儀式,Ryougi Shiki,12,1477,8867,1768,11055,10736,13404,12606,15754,Sakamoto Maaya,Takeuchi Takashi,Man,102,25.60%,0.80%,4%,44%,Chaotic Good,Female,"Enuma Elish Nullification, Hominidae Servant, Humanoid, Living Human, Servant",4,2,1,5,Arts,EX,Anti-Unit,3
93,Amakusa Shirō,5-Star,Limited,Ruler,天草四郎,"The One who Sought for an Endless Dream (終わりのない夢を追う者, Owari no Nai Yume wo Ou-mono?), Amakusa Shirou,Amakusa Shirō Tokisada (天草四郎時貞?), Shirō Kotomine (シロウ・コトミネ?)",16,1695,10972,2069,14107,12011,15455,14098,18163,Uchiyama Kōki,Konoe Ototsugu,Man,100,10%,0.86%,3%,21%,Lawful Good,Male,"Costume-Owning, Hominidae Servant, Humanoid, Servant, Weak to Enuma Elish",3,2,1,7,Buster,A+,Anti-Army,1
94,Astolfo,4-Star,Non-Limited,Rider,アストルフォ,"Knight of Evaporated Sanity (理性蒸発の騎士, Risei Jōhatsu no Kishi?) Rider of Black, Sailor Paladin",12,1489,8937,1787,11172,10821,13546,12705,15920,Ookubo Rumi,Konoe Ototsugu,Earth,205,9%,0.66%,1%,40%,Chaotic Good,Unknown,"Costume-Owning, Feminine Looking, Hominidae Servant, Humanoid, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,4,Quick,B+,Anti-Army,1
95,Kid Gil,3-Star,Non-Limited,Archer,子ギル,"Ko-Gil, Young Gil, Child Gil, Gil-kun, Gilgamesh (Child)",7,1429,7696,1571,8731,10415,11838,12233,13914,Endou Aya,Tenkuu Sphere,Sky,153,7.90%,0.62%,3%,36%,Chaotic Good,Male,"Child Servant, Divinity, Hominidae Servant, Humanoid, King, Servant, Seven Knights Servant, Weak to Enuma Elish",3,3,3,3,Buster,B+,Anti-Unit,10
96,Edmond Dantès,5-Star,Limited,Avenger,巌窟王 エドモン・ダンテス,"The Count of Monte Cristo (モンテ・クリスト伯爵?), The King of the Cavern (巌窟王, Gankutsuō?)",16,1953,12641,1785,12177,13838,13340,16242,15679,Shimazaki Nobunaga,Komatsuzaki Rui,Man,30,5.90%,0.62%,5%,7%,Chaotic Evil,Male,"Costume-Owning, Hominidae Servant, Humanoid, Servant, Weak to Enuma Elish",4,2,3,5,Quick,A,Anti-Army,8
97,Nightingale,5-Star,Non-Limited,Berserker,ナイチンゲール,"Angel of Crimea (クリミアの天使, Kurimia no Tenshi?)Florence Nightingale (フローレンス・ナイチンゲール?), Mercédès, The White Cloth of Steel, The Lady with the Lamp",16,1573,10184,2232,15221,11148,16675,13085,19598,Sawashiro Miyuki,Takahashi Keitarō,Man,10,5%,0.77% /  0.5%,5%,56.80%,Lawful Good,Female,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",6,2,1,5,Arts,C,Anti-Army,－
98,Cú Chulainn (Alter),5-Star,Story-locked,Berserker,クー・フーリン〔オルタ〕,"Cú Alter, Mad King Cú Chulainn",16,1979,12805,1790,12210,14017,13377,16453,15721,Canna Nobutoshi,Shimadoriru,Earth,9,5.10%,0.69%,5%,52%,Chaotic Evil,Male,"Costume-Owning, Divinity, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",4,3,3,5,Buster,A,Anti-Unit,12
99,Queen Medb,5-Star,Story-locked,Rider,女王メイヴ,"Queen of Connacht (コノートの女王, Konōto no Joō?), Queen Maeve, Eternal Lady",16,1591,10296,2048,13968,11270,15303,13229,17985,Sakura Ayane,Takayama Kisai,Earth,208,9%,0.86%,3%,40%,Chaotic Evil,Female,"Costume-Owning, Hominidae Servant, Humanoid, King, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",3,2,1,7,Buster,B,Anti-Army,5
100,Helena Blavatsky,4-Star,Non-Limited,Caster,エレナ・ブラヴァツキー,"Elena Blavatsky, Madame Blavatsky, Еле́на Петро́вна Блава́тская, Yelena Petrovna Blavatskaya",12,1438,8629,1901,11882,10448,14407,12267,16932,Kanemoto Hisako,MatsuRyuu,Man,51,10.70%,0.45%,3%,36%,Chaotic Good,Female,"Costume-Owning, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",6,3,1,3,Arts,A,Anti-Army,3
101,Rama,4-Star,Non-Limited,Saber,ラーマ,-,12,1642,9854,1901,11993,11931,14541,14009,17090,Sawashiro Miyuki,Rin Kususaga,Sky,100,10.20%,0.84%,3%,24.50%,Lawful Good,Male,"Divinity, Hominidae Servant, Humanoid, King, Loved One, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,4,Buster,A+,Anti-Demon,5
102,Li Shuwen (Lancer),4-Star,Story-locked,Lancer,神槍 李書文,"No Second Strike (二の打ち要らず, Ni no Uchi Irazu?)Legendary Spearman, God Spear Li (神槍李)",12,1608,9653,1817,11360,11688,13774,13723,16188,Yasui Kunihiko,Wada Arco,Man,87,12.20%,0.52%,4%,40%,Neutral Evil,Male,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",3,3,1,5,Arts,-,Anti-Unit,3
103,Thomas Edison,4-Star,Story-locked,Caster,トーマス・エジソン,"The Wizard of Menlo Park (メンロパークの魔術師, Menropāku no Majutsu-shi?)Thomas Alva Edison, King of Inventors, Presi-king",12,1325,7952,1901,11882,9628,14407,11305,16932,Terashima Takuma,pako,Man,51,10.60%,0.51%,3%,60%,Lawful Balanced,Male,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",3,3,3,5,Arts,EX,Anti-Populace,1
104,Geronimo,3-Star,Non-Limited,Caster,ジェロニモ,"Goyaałé, Jeronimo",7,1273,6857,1642,9123,9280,12369,10899,14539,Egawa Hisao,Sakamoto Mineji,Man,49,11%,0.90%,3%,40.50%,Neutral Good,Male,"Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,4,Arts,B,Anti-Army,1
105,Billy the Kid,3-Star,Non-Limited,Archer,ビリー・ザ・キッド,Juvenile Rascal King (少年悪漢王?),7,1279,6890,1711,9506,9325,12889,10952,15149,Takano Urara,Shimaudon,Man,150,8%,0.56%,3%,45%,Chaotic Balanced,Male,"Hominidae Servant, Humanoid, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,4,4,Quick,C++,Anti-Unit,3
106,Jeanne d'Arc (Alter),5-Star,Limited,Avenger,ジャンヌ・ダルク〔オルタ〕,"Dragon Witch (竜の魔女, Ryū no Majo?), Jalter, Witch of Vengeance, 邪ンヌ",16,2046,13244,1724,11761,14498,12885,17017,15143,Sakamoto Maaya,Takeuchi Takashi,Man,29,6%,0.83%,5%,5.70%,Chaotic Evil,Female,"Artoria Face, Costume-Owning, Hominidae Servant, Humanoid, Servant, Weak to Enuma Elish",3,2,4,7,Buster,A+,Anti-Army,10
107,Angra Mainyu,0-Star,Friend,Avenger,アンリマユ,"Avenger, All the World's Evil, King of Daemons, Aŋra Mainiiu",4,1008,5683,1502,7981,8235,11518,9698,13546,Terashima Takuma,Nekotawawa,Man,29,6%,0.79%,5%,9%,Chaotic Evil,Male,"Hominidae Servant, Humanoid, Servant, Weak to Enuma Elish",3,2,1,4,Arts,C-,Anti-Unit,－
108,Iskandar,5-Star,Limited,Rider,イスカンダル,"The King of Conquerors of the Distant Lands (遥かなる征服王, Harukanaru Seifuku-ō?)Alexander the Great, King of Conquerors",16,1786,11560,1938,13219,12654,14482,14853,17020,Ootsuka Akio,Takeuchi Takashi,Man,205,8.80%,0.66% / 0.86%,3%,40%,Neutral Good,Male,"Divinity, Greek Mythology Male, Hominidae Servant, Humanoid, King, Loved One, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",3,2,1,6,Buster,EX,Anti-Army,8
109,EMIYA (Assassin),4-Star,Non-Limited,Assassin,エミヤ〔アサシン〕,"Emiya Kiritsugu (衛宮切嗣, Emiya Kiritsugu?), Magus Killer",12,1493,8958,1786,11168,10846,13541,12735,15915,"Koyama Rikiya, Ohara Sayaka",AKIRA,Man,97,25.60%,0.46% /  0.28%,4%,44%,Chaotic Evil,Male,"Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",4,2,6,8,Arts,B,Anti-Unit,15
110,Hassan of the Hundred Faces,3-Star,Non-Limited,Assassin,百貌のハサン,"Leader of Hashasheen (暗殺教団教主, Ansatsu Kyōdan Kyōshu?)Asa-ko (アサ子?), Hundred-Faced Hassan, Hassan of the Hundred Personas",7,1241,6686,1675,9310,9049,12623,10628,14837,Abe Akina,Task Ohna,Man,97,25.50%,0.48% /  0.38%,4%,44%,Lawful Evil,Female,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",3,3,1,6,Arts,B+,Anti-Unit,13
111,Irisviel (Dress of Heaven),4-Star,Event-Obtain,Caster,アイリスフィール〔天の衣〕,"Irisviel von Einzbern, Iri, White Holy Grail, Irisviel (Holy Grail)",12,1372,8237,1996,12476,9973,15127,11710,17778,Ohara Sayaka,Shimaudon,Sky,50,10.80%,0.42%,3%,34.50%,Chaotic Good,Female,"Divinity, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",3,3,3,4,Arts,B,Magecraft,－
112,Shuten Dōji,5-Star,Limited,Assassin,酒呑童子,"Shuten-Douji, Ibuki Dōji, Saṃghāta Hell Berserker (バーサーカー・衆合地獄?)",16,1853,11993,1881,12825,13128,14050,15410,16513,Yūki Aoi,Honjou Raita,Earth,98,25%,0.55%,4%,31.60%,Chaotic Evil,Female,"Costume-Owning, Demonic, Divinity, Dragon, Humanoid, Non-Hominidae Servant, Oni, Servant, Seven Knights Servant, Shuten Dōji (Trait), Weak to Enuma Elish",4,3,1,6,Arts,B,Anti-Army,1
113,Xuanzang Sanzang,5-Star,Non-Limited,Caster,玄奘三蔵,"The Bonze of Tang Dynasty (唐代の法師, Tō-dai no Hōshi?)Genjou Sanzou",16,1801,11658,1901,12965,12761,14204,14979,16693,Komatsu Mikako,Okazaki Takeshi,Man,52,11%,0.82%,3%,34.50%,Lawful Good,Female,"Divinity, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",3,2,1,6,Buster,B,Anti-Army,12
114,Minamoto no Raikō,5-Star,Limited,Berserker,源頼光,"Minamoto no Yorimitsu, Ushi Gozen (丑御前?), Kālasūtra Hell Rider (ライダー・黒縄地獄?)",16,1786,11556,1980,13500,12650,14790,14848,17382,Tomatsu Haruka,Honjou Raita,Sky,9,4.90%,0.46%,5%,39%,Chaotic Good,Female,"Divinity, Genji, Hominidae Servant, Humanoid, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",3,4,1,5,Buster,B++,Anti-Army,7
115,Sakata Kintoki (Rider),4-Star,Event-Obtain,Rider,坂田金時,Kintarō (金太郎?),12,1636,9819,1728,10800,11889,13095,13959,15390,Yusa Kōji,Honjou Raita,Earth,198,9%,1.15%,3%,40%,Lawful Good,Male,"Divinity, Fairy Tale Servant, Genji, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",4,2,1,5,Quick,B,Anti-Army,4
116,Ibaraki Dōji,4-Star,Non-Limited,Berserker,茨木童子,"Ibaraki-Douji, Banana Oni",12,1606,9636,1752,10954,11667,13282,13699,15610,Touyama Nao,Hidari,Earth,10,4.90%,1.03%,5%,52%,Chaotic Evil,Female,"Child Servant, Demonic, Humanoid, Non-Hominidae Servant, Oni, Servant, Seven Knights Servant, Weak to Enuma Elish",4,2,1,5,Buster,B,Anti-Army,1
117,Fūma Kotarō,3-Star,Non-Limited,Assassin,風魔小太郎,"Fuuma Kotarou, Fuuma ""Evil-Wind"" Kotarou",7,1316,7091,1592,8844,9597,11991,11272,14094,Hanae Natsuki,Sasaki Shonen,Man,100,25.60%,0.54%,4%,38.50%,Chaotic Evil,Male,"Costume-Owning, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",4,4,1,4,Quick,B,Anti-Army,5
118,Ozymandias,5-Star,Non-Limited,Rider,オジマンディアス,"King of Gods (神王, Shin-Ō?)Ramesses II, King of Kings, Meryamen, Sun King, God-king",16,1850,11971,1881,12830,13104,14056,15381,16519,Koyasu Takehito,Nakahara,Sky,205,9%,0.59%,3%,30%,Chaotic Balanced,Male,"Divinity, Hominidae Servant, Humanoid, King, Loved One, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",5,3,1,5,Buster,EX,Anti-Fortress,5
